CC,gov_score,gov_permit,confidence,source,notes
USA,1,1,high,"State law; e.g. prior-appropriation permit states vs. Texas rule of capture; Edwards (2016) JAERE 3(2)","No federal regime; state-level heterogeneity from strict volumetric permitting to open access. Coded 1 = statutory but partial/heterogeneous."
IRN,1,1,medium,"Water Law 1968 & Fair Water Distribution Act 1982; prohibited (mamnu'e) plains; lit. on unlicensed wells","Permit regime and plain-level bans exist on paper; several hundred thousand unlicensed wells and weak enforcement over 2000-2022."
IND,0,0,high,"Groundwater tied to land (Easements Act 1882); CGWA regulation limited to notified areas; state model bills mostly unenacted","De facto open access for agricultural abstraction across most states; electricity policy, not permits, is the operative lever."
MEX,1,1,high,"Ley de Aguas Nacionales 1992; CONAGUA concessions; veda zones","National concession/veda system but chronic over-concessioning and weak enforcement."
ESP,1,1,high,"Water Act 1985 (public domain; registration/concession); documented stock of unregistered wells","Comprehensive statute; large implementation gap in key basins (unregistered wells)."
FRA,2,1,high,"Code de l'environnement; declaration/authorisation regime; ZRE zones; metering + agency abstraction fees","Comprehensive national regime, volumetric and enforced."
CAN,1,1,medium,"Provincial regimes: ON Permit To Take Water; AB Water Act; BC groundwater unlicensed until Water Sustainability Act 2016","Permit-based in most provinces but subnational heterogeneity and BC only from 2016; agricultural exemptions vary."
ZAF,1,1,medium,"National Water Act 36 of 1998; water-use licences and general authorisations","Strong statute; well-documented licensing backlogs and implementation gaps."
CHN,1,1,medium,"Water Law 2002; abstraction permits + water resource fee/tax pilots","Permit system nominally universal; enforcement variable, notably weaker for rural irrigation wells."
PAK,0,0,high,"No effective abstraction licensing for agriculture; provincial water acts (e.g. Punjab Water Act 2019) recent and largely unimplemented in study period","De facto open access over 2000-2022."
BGD,1,1,medium,"Groundwater Management Ordinance 1985; Groundwater Management for Agricultural Purposes Act 2018 (FAOLEX LEX-FAOC218666)","Installation/siting licences for irrigation wells via upazila committees; no volumetric control, weak enforcement. Coding 0 defensible for most of the study period - test both."
THA,1,1,medium,"Groundwater Act B.E. 2520 (1977); licences + charges in designated groundwater areas","Licensing effective in designated (mostly urban/industrial) areas; agricultural use largely outside."
DNK,2,1,high,"Water Supply Act; universal abstraction permits, metering and abstraction taxation","Comprehensive, metered, enforced."
CZE,2,1,high,"Water Act 254/2001; abstraction permits + charges","Comprehensive EU-WFD-aligned permit regime."
VNM,1,1,medium,"Law on Water Resources 17/2012 (and 1998 predecessor); licences above thresholds; 2018 decree restricting groundwater extraction","Licensing above thresholds; household/small agricultural wells exempt; enforcement middling."
BEL,2,1,high,"Regional permit regimes (Flanders VLAREM permits + groundwater levy; Wallonia Code de l'Eau)","Comprehensive regional permitting with charges."
SAU,1,1,medium,"MEWA well-drilling licences; Water Law (Royal Decree M/159, 2020)","Drilling licences exist; effectively no volumetric control of agricultural pumping for most of 2000-2022 (policy operated via crop-subsidy reform)."
BGR,2,1,medium,"Water Act 1999 (EU WFD); abstraction permits","Permit regime EU-aligned; enforcement assumed adequate - verify if BGR segments prove influential."
ARG,1,1,medium,"Provincial water codes (e.g. Mendoza groundwater law 4035/1974); no national regime","Provincial permitting where aquifers matter (Mendoza); heterogeneous elsewhere."
