aquifer_code,aquifer_name,country_1,country_2,stratum,published_class,claim_tested,verdict,proposed_class,candidate_reclassification,gis_verdict,gis_acceptance,gis_side_tested,gis_feature,gis_dist_to_polygon_km,gis_dist_to_border_km,error_class,error_class_description,classF_published,classF_corrected,applied_to,applied_in_variant,evidence_tier,confidence,aquifer_specific_record,tier1_recitation,evidence,sources,notes
AF074; AF078,Nappe de la Plaine des Angad et de Maghnia; Nappe profonde de Jbel-Hamra,DZA,MAR,A: all BL dyads,BL,More than 99% of MAR's groundwater-irrigated cropland over this aquifer (150 ha) lies within 10 km of the border.,CONTRADICTED_T1,DA,yes,validated,accepted: feature strictly inside the polygon and band,MAR,"Oujda (MAR, 34.6867,-1.9114, +/-1km)",0.0,7.1,E,"applied: interior cropland understated, concentration share collapses",DA,DA,class only (classF unchanged: absorbed by the future projection),audit_t1 + audit_t12,1,medium,,,"The Moroccan part of this system is the Angads plain aquifer (~450-460 km2), which underlies Oujda and extends west and south of it; Oujda itself is ~15 km from the Algerian border and the plain continues a further ~30 km westward (fed laterally by the Bouhouria aquifer). Basin documentation for the Moulouya gives total Angad abstraction of ~36 Mm3/yr of which ~20 Mm3/yr is for irrigation, i.e. on the order of 3,000-5,000 ha of groundwater-irrigated land; peer-reviewed surveys of the plain report groundwater as the principal/only water source and intensive fertilised, irrigated agriculture 'in the south and around Oujda'. That places substantial groundwater-irrigated cropland over the mapped aquifer well beyond 10 km from the Algeria-Morocco border.","[T1] Bouhout, S. et al. (2025). Assessment of groundwater pollution using PIG index and microbiological indicators in the Angads plain, Morocco. Scientific Reports 15. (Angads plain 460 km2; groundwater is the principal, indeed only, supply source; high agricultural activity; irrigation-water infiltration; Oujda draws 63% of drinking water from the aquifer.) https://www.nature.com/articles/s41598-025-99956-z | [T1] Taoufiq, H. et al. (2024). Monitoring the Overall Quality of Groundwater Using a Geographic Information System in the Angads Plain (Oujda, Morocco). The Scientific World Journal. (Study area extent and agricultural setting of the Angads plain, eastern Taourirt-Oujda corridor.) https://onlinelibrary.wiley.com/doi/10.1155/tswj/7511804 | [T2] Moulouya basin hydrological synthesis chapter (nappe des Angad: ~450 km2, recharge ~32 Mm3/yr, abstraction ~36 Mm3/yr of which 20 Mm3/yr for irrigation and 16 Mm3/yr for drinking water incl. Oujda; underground inflow from the Bouhouria aquifer). Accessed via a document-hosting mirror; original agency publication not verified. https://pdfcoffee.com/11-moulouya-def-pdf-free.html | [T1] Diagnostic de l'etat d'utilisation et de gestion de l'eau dans la ville d'Oujda (MON-3 / Plan Communal d'Oujda, 2019). (Nappe des Angads shallow aquifer and Jbel Hamra deep dolomitic aquifer both heavily exploited; ~1.5 m3/s abstracted in the Taourirt-Oujda corridor for agriculture, industry and drinking water.) https://mon-3.org/wp-content/uploads/2019/09/Diagnostic-de-etat-utilisation-et-gestion-de-eau-dans-la-ville-Oujda.pdf","The contradiction is to the BL trigger only: it is the '100% of MAR's 1,501 ha lies within 10 km' figure that is not tenable, not the existence of border-proximate irrigation (which is real, on both sides). Applying the ordered rule to corrected numbers: not IU0/IU1 (both sides have groundwater irrigation and urban land within 100 km); not UB; BL fails on both sides (DZA is 2,276/2,359 = 96.5%, below 99%, and MAR is no longer ~100%); therefore DA. Caveat: I could not obtain a source that states irrigated hectares by distance band, so the quantitative split is inferred from the aquifer's mapped footprint (Oujda at ~15 km from the border, plain extending ~30 km further west) combined with the 20 Mm3/yr irrigation abstraction figure. The strongest single number (20 Mm3/yr for irrigation) comes from a mirrored copy of a basin report whose original publisher I could not verify, so it is recorded as Tier 2; the Tier 1 basis for the verdict is the peer-reviewed delineation of the Angads plain plus its documented irrigated-agriculture groundwater use. If the authors can check the AF074 polygon geometry directly, that would settle it quickly. Note also AF078 (Jbel Hamra deep dolomites) is exploited mainly for Oujda's municipal supply, not cropland irrigation."
AS027,Samur Aquifer,AZE,RUS,A: all BL dyads,BL,More than 99% of RUS's groundwater-irrigated cropland over this aquifer (6 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"Irrigation on the Russian (Dagestan) side of the Samur is supplied by the Samur-Derbent canal, i.e. surface water diverted from the Samur River, not by groundwater. The documented groundwater development in the Russian part of the aquifer is the Samur forest wellfield in Magaramkent district, drilled to supply drinking water to the city of Derbent - municipal abstraction, not cropland irrigation.","[T2] OC Media (2018). Daghestani village demands end to water extraction in 'unique forest'. (Wells drilled in the Samur Forest, Magaramkent district, to provide drinking water to Derbent.) https://oc-media.org/daghestani-village-demands-end-to-water-extraction-in-unique-forest/ | [T1] UNECE, Second Assessment of Transboundary Rivers, Lakes and Groundwaters, Part IV Chapter 4: Drainage basin of the Caspian Sea (Samur basin; Samur-Absheron and Samur-Derbent diversions are surface-water canals). https://unece.org/DAM/env/water/publications/assessment/English/H_PartIV_Chapter4_En.pdf","Near-miss worth recording: substantial groundwater abstraction does occur on the Russian side within ~10-20 km of the border (Samur forest wellfield, Magaramkent district), but it is municipal supply for Derbent, so under the protocol it does not contradict a cropland claim. It may nonetheless matter for any abstraction-based robustness variant. The UNECE chapter could not be retrieved directly (403) and is cited from the search record plus general basin documentation; the substantive point - that Dagestani irrigation south of Derbent is canal-fed from the Samur - is well established. Russia's 61 ha of groundwater-irrigated cropland is a very small number and I found nothing that would displace it northward along the coastal plain."
AS089,Cambodia Mekong River Delta Aquifer,KHM,VNM,A: all BL dyads,BL,More than 99% of KHM's groundwater-irrigated cropland over this aquifer (21 ha) lies within 10 km of the border.,CONTRADICTED_T1,DA,yes,validated,accepted: feature strictly inside the polygon and band,KHM,"Prey Veng (KHM, 11.4869,105.3253, +/-5km); Kampong Cham (KHM, 11.9934,105.4635, +/-1km)",0.0,51.9,E,"applied: interior cropland understated, concentration share collapses",DA,DA,class only (classF unchanged: absorbed by the future projection),audit_t1 + audit_t12,1,high,,,"Cambodia has widespread tube-well groundwater irrigation distributed across the lowlands overlying this aquifer, far more than 209 ha and not confined to a 10 km border strip: Prey Veng 9,038 tube-wells irrigating 13,557 ha, Takeo 1,253 wells / 2,753 ha, Kampong Cham 1,258 wells / 2,402 ha, Kandal 347 wells / 372 ha, plus Siem Reap (110 ha) and Battambang (22 ha) in the Tonle Sap region - roughly 12,000 tube-wells and ~9% of Cambodia's irrigated area. Prey Veng, Kampong Cham and Kandal extend tens to well over 100 km from the Vietnamese border, so the great majority of this groundwater-irrigated cropland lies beyond 10 km of that border while remaining over the mapped aquifer.","[T1] Ministry of Water Resources and Meteorology / UNDP, Development of Groundwater Management Strategy in Cambodia (2020). Table 6, tube-wells and groundwater-irrigated area by province; 'Areas where groundwater irrigation is known to take place include Siem Reap, Battambang, and Kampong Chhnang in the Tonle Sap region; Kampong Cham province in the Phnom Penh region; and Prey Veng, Svay Rieng, Takeo, and Kandal in the south.' https://www.adaptation-undp.org/sites/default/files/resources/groundwater_managment_in_cambodia_-_v.24.02.202027958.pdf | [T2] Open Development Cambodia, Groundwater topic page. ('Tube wells are mostly used in Prey Veng and Svay Rieng (South-east Cambodia). Dug wells are commonly found in Kampong Thom province, as well as in central and North-east Cambodia'; ~270,000 tube wells nationally; groundwater used for late-dry-season and supplementary wet-season rice irrigation.) https://opendevelopmentcambodia.net/topics/groundwater/","This is the clearest contradiction in the batch. The 209 ha assigned to Cambodia understates documented groundwater irrigation over this polygon by roughly two orders of magnitude, and the spatial pattern is the opposite of border-concentrated: the largest block (Prey Veng, 13,557 ha) is spread across a province whose north-south extent is ~100 km, and Kampong Cham and Kandal sit around Phnom Penh, 50-150 km from the Vietnamese border. Applying the ordered rule: not IU0/IU1; not UB; BL fails on both sides (VNM is 1,529/13,576 = 11%; KHM is no longer concentrated); therefore DA. Likely cause on our side: the global groundwater-irrigation layer misses smallholder shallow tube-well dry-season rice in the Cambodian lowlands, which is exactly the land use this aquifer is known for. The same failure mode probably affects other Mekong-lowland dyads in the wider dataset, so this one is worth flagging beyond the single reclassification. Provincial figures date from the 2001-2005 period and groundwater irrigation has expanded since."
AS140,Umm er Radhuma-Dammam Aquifer System (Centre): Gulf,ARE,SAU,A: all BL dyads,BL,More than 99% of ARE's groundwater-irrigated cropland over this aquifer (3 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"UN-ESCWA's Inventory chapter for the Umm er Radhuma-Dammam Aquifer System (Centre)/Gulf lists its riparians as Bahrain, Qatar and Saudi Arabia only and does not extend the unit into the UAE; the IGRAC polygon evidently clips only the far-western corner of Abu Dhabi (Sila/Ghuwaifat), a sabkha and desert strip immediately adjacent to the Saudi border where a token 28 ha of cropland within 10 km is entirely plausible.","[T1] UN-ESCWA & BGR (2013). Inventory of Shared Water Resources in Western Asia, Chapter 15: Gulf Umm er Radhuma-Dammam Aquifer System (Centre). ('This section extends across three Gulf states: Bahrain, Qatar and Saudi Arabia'; riparian countries Bahrain, Qatar, Saudi Arabia.) https://waterinventory.org/sites/waterinventory.org/files/chapters/Chapter-15-Umm-er-Radhuma-Dammam-Aquifer-System-Center-web.pdf | [T1] UN-ESCWA & BGR (2013). Inventory of Shared Water Resources in Western Asia, Chapter 14: Rub' al Khali Umm er Radhuma-Dammam Aquifer System (South). (Assigns the UAE's Liwa/Al Dhafra groundwater irrigation area to the southern, not the central, system.) https://waterinventory.org/sites/waterinventory.org/files/chapters/Chapter-14-Umm-er-Radhuma-Dammam-Aquifer-System-South-web.pdf | [T1] IWMI/GW-MENA, Groundwater governance in Liwa oasis: agriculture and groundwater in Liwa, United Arab Emirates. (Documents the UAE's principal groundwater-irrigated date-palm and forage area, in Liwa.) https://gw-mena.iwmi.org/wp-content/uploads/sites/3/2017/04/Rep.15-Groundwater-governance-in-Liwa-oasis-report_final_cover.pdf","Important near-miss the authors should be aware of: the UAE does have very large groundwater-irrigated areas over Umm er Radhuma-Dammam rocks - Liwa oasis and the Al Dhafra farms - and if the IGRAC AS140 polygon were extended south/east to cover them, ARE's total would be thousands of hectares, none of it within 10 km of the Saudi border, and the dyad would not be BL. Under ESCWA's delineation those areas belong to the *South* (Rub' al Khali) system, so they are correctly excluded here, but the AS140/AS141 boundary in the IGRAC layer is the load-bearing assumption. Note also that both sides show 0 ha of urban land within 100 km, which is consistent with a remote desert border segment. I did not find any evidence of cropland in far-western Abu Dhabi beyond the 10 km band inside this polygon."
N055,Ascension Aquifer / Hachita Moscos Basin,MEX,USA,A: all BL dyads,BL,More than 99% of USA's groundwater-irrigated cropland over this aquifer (3 ha) lies within 10 km of the border.,INSUFFICIENT,,no,,,,,,,,,,,,,,low,,,"The two authoritative treatments of this aquifer I could locate - the NM WRRI assessment of trans-international boundary aquifers in southwestern New Mexico and the peer-reviewed identification/categorization of Chihuahua-New Mexico transboundary aquifers - characterize the Hachita-Moscos/Ascension system hydrogeologically (a closed, partly drained basin of ~2,700 km2, ~1,100 km2 in Mexico, with ephemeral axial drainage to Laguna los Moscos and estimated transboundary flow of no more than ~2.5 Mm3/yr) but contain no land-use, irrigated-acreage or well-inventory data for either side.","[T1] New Mexico Water Resources Research Institute, Trans-International Boundary Aquifers in Southwestern New Mexico, Executive Summary. (Hachita-Moscos basin extent; ephemeral Hachita and Wamels Draws; preliminary transboundary flow estimate.) https://nmwrri.nmsu.edu/publications/pub-documents/trans-international-boundary-aquifers-in-southwest-new-mexico/execsum.pdf | [T1] Sanchez, R. et al. (2021). Transboundary Aquifers between Baja California, Sonora and Chihuahua, Mexico, and California, Arizona and New Mexico, United States: Identification and Categorization. Water 13(20), 2878. (Ascension Aq./Hachita Moscos Basin: good aquifer potential and good water quality; northern boundary at the Continental Divide.) https://www.mdpi.com/2073-4441/13/20/2878","I searched and found nothing contradicting the claim, but I also found nothing that positively characterizes irrigation on the New Mexico (Hidalgo County / Hachita valley) side, so I am reporting INSUFFICIENT rather than CONFIRMED. The claim is not implausible on its face - the US portion is sparsely settled ranching country with playas and no perennial surface water, and 30 ha is a token figure - but nothing I retrieved lets me verify the distance distribution. The Mexican side (Ascension, Chihuahua, 12,628 ha of groundwater irrigation, only 19% within 10 km) is consistent with the well-documented Ascension/Janos irrigated pivots, and that half of the classification looks sound. USGS/NM Office of the State Engineer well-permit records or USDA county irrigation statistics for Hidalgo County would resolve the US side if the authors want to close it."
N063,Redford Bolson,MEX,USA,A: all BL dyads,BL,More than 99% of MEX's groundwater-irrigated cropland over this aquifer (8 ha) lies within 10 km of the border.,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"The Redford Bolson is a narrow bolson (295 km2 in the IGRAC polygon) whose southwestern boundary is the Rio Grande itself - which is the international border - and which is hemmed in by the Chinati, Cienega, Black Hills and Bofecillos uplands; essentially the entire unit therefore lies within ~10-15 km of the border, and the farming reported in the southern part of Presidio County is floodplain truck farming (onions and vegetables) along the river.","[T1] Presidio County Underground Water Conservation District Management Plan (2015), Texas Water Development Board. ('bounded along the northeast by the Chinati Mountains and along the southeast by the Cienega Mountains, the Black Hills and the Bofecillos Mountains. The southwest boundary of the Bolson in the District is the Rio Grande'; farming is the major income in the southern county, truck farming such as onions and other vegetables.) https://www.twdb.texas.gov/groundwater/docs/GCD/pcuwcd/pcuwcd_mgmt_plan2015.pdf","This claim is close to geometrically self-fulfilling: a 295 km2 bolson bounded on one side by the border river cannot hold much cropland more than 10 km from the border, so BL on the Mexican side (81 ha, all within 10 km) is what the geometry predicts. The management plan does not disaggregate irrigated acreage between the Presidio and Redford portions or by water source, so the groundwater-versus-Rio-Grande split for the small acreage involved is unverified; either way the distance band is unaffected. Both sides are tiny (MEX 81 ha, USA 38 ha) and both are ~100% within 10 km, so the dyad would be BL under almost any perturbation."
S013,Amazonas,COL,VEN,B: highest-risk IU/UB,UB,COL has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"Agriculture in the Amazon basin is overwhelmingly rainfed - 'at present, agriculture in the region is primarily rain-fed and relies almost exclusively on green-water resources' - and no groundwater-irrigated cropland is documented in the Colombian Amazon near the Venezuelan border (Guainia/Vaupes/Amazonas departments), where settlement is sparse and riverine.","[T1] Zaehle, S. et al. / Bagley, J.E. et al. (2016). A review of green- and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin: what could irrigated agriculture mean for Amazonia? Hydrology and Earth System Sciences 20, 2179-2197. https://hess.copernicus.org/articles/20/2179/2016/ | [T1] FAO, Transboundary River Basin Overview - Amazon (AQUASTAT). https://openknowledge.fao.org/server/api/core/bitstreams/b8d766bb-e7c7-4857-9911-d09d9035cf4c/content","Colombia's 84 ha of groundwater-irrigated cropland over the whole 3.74 million km2 Amazonas polygon are located far from this border, which is consistent with Colombian irrigation being concentrated in the Andean and Caribbean regions, not the Amazon. Generic caveat applying to all eight S013 dyads: the polygon is enormous and a single 'Amazonas' aquifer treated as one transboundary unit means the 100 km border bands sample only remote, forested, riverine terrain. Groundwater in this region is developed for municipal supply (e.g. the OTCA hydrogeological work at Leticia-Tabatinga), not for irrigation."
S013,Amazonas,BOL,PER,B: highest-risk IU/UB,UB,PER has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"No groundwater-irrigated cropland is documented in the Peruvian Amazon (Madre de Dios) within 100 km of the Bolivian border; Amazonian agriculture there is rainfed, and Peru's groundwater irrigation is confined to the Pacific coastal valleys.","[T1] Bagley, J.E. et al. (2016). A review of green- and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin. Hydrology and Earth System Sciences 20, 2179-2197. ('At present, agriculture in the region is primarily rain-fed and relies almost exclusively on green-water resources.') https://hess.copernicus.org/articles/20/2179/2016/ | [T1] FAO, Transboundary River Basin Overview - Amazon (AQUASTAT). https://openknowledge.fao.org/server/api/core/bitstreams/b8d766bb-e7c7-4857-9911-d09d9035cf4c/content","Peru shows exactly zero irrigated cropland of any kind over this polygon in our data, which is consistent with the literature: Peruvian irrigation, including all of its groundwater irrigation, is on the Pacific slope, hundreds of kilometres west of the Amazonas polygon. Bolivia's 22 ha within 100 km on the other side is the only irrigation in the dyad and is what makes this UB rather than IU1."
S013,Amazonas,BRA,PER,B: highest-risk IU/UB,UB,BRA has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"No groundwater-irrigated cropland is documented on the Brazilian side within 100 km of the Peruvian border (western Amazonas and Acre states); agriculture there is rainfed smallholder and pasture, and Brazil's irrigated agriculture - including centre pivots - lies in the southern and eastern Amazon frontier and the Cerrado, far outside this band.","[T1] Bagley, J.E. et al. (2016). A review of green- and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin. Hydrology and Earth System Sciences 20, 2179-2197. https://hess.copernicus.org/articles/20/2179/2016/ | [T1] FAO, Transboundary River Basin Overview - Amazon (AQUASTAT). https://openknowledge.fao.org/server/api/core/bitstreams/b8d766bb-e7c7-4857-9911-d09d9035cf4c/content","Brazil records 0 ha of groundwater irrigation and only 3 ha of irrigation of any kind over this polygon, against 186,961 ha of urban land within 100 km - the urban figure is driven by Amazonian river towns (and, at this scale, by the polygon's reach). Nothing found contradicts the cropland claim. The Brazilian Amazon does use groundwater heavily for municipal supply (e.g. the Alter do Chao aquifer), which is not cropland irrigation."
S013,Amazonas,BRA,COL,B: highest-risk IU/UB,UB,BRA has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,,,"No groundwater-irrigated cropland is documented on the Brazilian side within 100 km of the Colombian border; the tri-border area around Tabatinga-Leticia is forested and riverine, its agriculture rainfed, and the documented groundwater development there is for urban drinking-water supply, not irrigation.","[T1] OTCA / Amazon Basin Project, Hydrogeological, vulnerability and risk assessment for the development of policies for the protection and sustainable use of groundwater in the transboundary region of Leticia and Tabatinga. (Groundwater in the tri-border area is developed for urban supply.) https://aguasamazonicas.otca.org/intervencion/hydrogeological-vulnerability-and-risk-assessment-for-the-development-of-groundwater-protection-and-use-policies-for-the-transboundary-region-of-leticia-and-tabatinga/?lang=en | [T1] Bagley, J.E. et al. (2016). A review of green- and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin. Hydrology and Earth System Sciences 20, 2179-2197. https://hess.copernicus.org/articles/20/2179/2016/","This is the dyad where the Leticia-Tabatinga groundwater work is most directly relevant, and it is unambiguously about protecting urban water supply wells, not irrigation - a near-miss under the protocol's water-use test rather than a contradiction. Both sides' urban figures (BRA 186,961 ha, COL 128,590 ha within 100 km) are what drives the UB classification."
